timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1672065960094,260,GET BUYER PRODUCT BY BUYER PRODUCT ID,200,OK,Thread Group Normal Test 1-62,text,true,,931,413,90,90,https://market-final-project.herokuapp.com/buyer/product/28172,260,0,0
1672065959359,1071,GET BUYER PRODUCT,200,OK,Thread Group Normal Test 1-71,text,false,"The operation lasted too long: It took 1,071 milliseconds, but should not have lasted longer than 1,000 milliseconds.",4903,440,90,90,https://market-final-project.herokuapp.com/buyer/product?page=5&per_page=10&category_id=1,1071,0,0
1672065960116,363,GET BUYER ORDER,200,OK,Thread Group Normal Test 1-38,text,true,,276,405,90,90,https://market-final-project.herokuapp.com/buyer/order,363,0,0
1672065959375,1124,GET BUYER PRODUCT,200,OK,Thread Group Normal Test 1-14,text,false,"The operation lasted too long: It took 1,124 milliseconds, but should not have lasted longer than 1,000 milliseconds.",4903,440,90,90,https://market-final-project.herokuapp.com/buyer/product?page=5&per_page=10&category_id=1,1123,0,0
1672065960106,453,GET BUYER PRODUCT,200,OK,Thread Group Normal Test 1-22,text,true,,4903,440,90,90,https://market-final-project.herokuapp.com/buyer/product?page=5&per_page=10&category_id=1,453,0,0
1672065960180,383,PUT BUYER ORDER BY BUYER ORDER ID,404,Not Found,Thread Group Normal Test 1-40,text,false,,464,454,90,90,https://market-final-project.herokuapp.com/buyer/order/,383,0,0
1672065960212,362,POST BUYER ORDER,400,Bad Request,Thread Group Normal Test 1-66,text,false,,349,482,89,89,https://market-final-project.herokuapp.com/buyer/order,362,0,0
1672065957972,2615,POST BUYER ORDER,400,Bad Request,Thread Group Normal Test 1-90,text,false,"The operation lasted too long: It took 2,615 milliseconds, but should not have lasted longer than 1,000 milliseconds.",349,482,89,89,https://market-final-project.herokuapp.com/buyer/order,2615,0,0
1672065960164,434,DELETE SELLER PRODUCT BY ID,200,OK,Thread Group Normal Test 1-63,text,true,,322,436,89,89,https://market-final-project.herokuapp.com/seller/product/44170,434,0,0
1672065960107,495,DELETE SELLER PRODUCT BY ID,200,OK,Thread Group Normal Test 1-21,text,true,,322,436,89,89,https://market-final-project.herokuapp.com/seller/product/44162,494,0,0
1672065959633,973,GET BUYER PRODUCT BY BUYER PRODUCT ID,200,OK,Thread Group Normal Test 1-45,text,true,,931,413,89,89,https://market-final-project.herokuapp.com/buyer/product/28172,973,0,0
1672065960143,467,DELETE SELLER PRODUCT BY ID,200,OK,Thread Group Normal Test 1-30,text,true,,322,436,89,89,https://market-final-project.herokuapp.com/seller/product/44176,467,0,0
1672065960120,500,DELETE SELLER PRODUCT BY ID,200,OK,Thread Group Normal Test 1-69,text,true,,322,436,89,89,https://market-final-project.herokuapp.com/seller/product/44180,499,0,0
1672065960205,442,POST BUYER ORDER,400,Bad Request,Thread Group Normal Test 1-93,text,false,,349,482,89,89,https://market-final-project.herokuapp.com/buyer/order,442,0,0
1672065959465,1190,GET BUYER PRODUCT,200,OK,Thread Group Normal Test 1-20,text,false,"The operation lasted too long: It took 1,190 milliseconds, but should not have lasted longer than 1,000 milliseconds.",4903,440,89,89,https://market-final-project.herokuapp.com/buyer/product?page=5&per_page=10&category_id=1,1190,0,0
1672065958079,2599,POST BUYER ORDER,400,Bad Request,Thread Group Normal Test 1-48,text,false,"The operation lasted too long: It took 2,599 milliseconds, but should not have lasted longer than 1,000 milliseconds.",349,482,89,89,https://market-final-project.herokuapp.com/buyer/order,2599,0,0
1672065959820,864,GET BUYER PRODUCT BY BUYER PRODUCT ID,200,OK,Thread Group Normal Test 1-8,text,true,,931,413,89,89,https://market-final-project.herokuapp.com/buyer/product/28172,864,0,0
1672065955771,4912,DELETE SELLER PRODUCT BY ID,200,OK,Thread Group Normal Test 1-61,text,false,"The operation lasted too long: It took 4,912 milliseconds, but should not have lasted longer than 1,000 milliseconds.",322,436,89,89,https://market-final-project.herokuapp.com/seller/product/44121,4912,0,0
1672065955795,4893,DELETE SELLER PRODUCT BY ID,200,OK,Thread Group Normal Test 1-60,text,false,"The operation lasted too long: It took 4,893 milliseconds, but should not have lasted longer than 1,000 milliseconds.",322,436,89,89,https://market-final-project.herokuapp.com/seller/product/44120,4893,0,0
1672065959794,899,GET BUYER PRODUCT BY BUYER PRODUCT ID,200,OK,Thread Group Normal Test 1-55,text,true,,931,413,89,89,https://market-final-project.herokuapp.com/buyer/product/28172,899,0,0
1672065960433,260,GET BUYER PRODUCT BY BUYER PRODUCT ID,200,OK,Thread Group Normal Test 1-71,text,true,,931,413,89,89,https://market-final-project.herokuapp.com/buyer/product/28172,260,0,0
1672065959857,852,GET BUYER PRODUCT BY BUYER PRODUCT ID,200,OK,Thread Group Normal Test 1-4,text,true,,931,413,89,89,https://market-final-project.herokuapp.com/buyer/product/28172,852,0,0
1672065955790,4924,DELETE SELLER PRODUCT BY ID,200,OK,Thread Group Normal Test 1-57,text,false,"The operation lasted too long: It took 4,924 milliseconds, but should not have lasted longer than 1,000 milliseconds.",322,436,89,89,https://market-final-project.herokuapp.com/seller/product/44118,4924,0,0
1672065956219,4496,DELETE SELLER PRODUCT BY ID,200,OK,Thread Group Normal Test 1-73,text,false,"The operation lasted too long: It took 4,496 milliseconds, but should not have lasted longer than 1,000 milliseconds.",322,436,89,89,https://market-final-project.herokuapp.com/seller/product/44129,4496,0,0
1672065956230,4487,DELETE SELLER PRODUCT BY ID,200,OK,Thread Group Normal Test 1-59,text,false,"The operation lasted too long: It took 4,487 milliseconds, but should not have lasted longer than 1,000 milliseconds.",322,436,89,89,https://market-final-project.herokuapp.com/seller/product/44128,4487,0,0
1672065956355,4368,DELETE SELLER PRODUCT BY ID,200,OK,Thread Group Normal Test 1-46,text,false,"The operation lasted too long: It took 4,368 milliseconds, but should not have lasted longer than 1,000 milliseconds.",322,436,89,89,https://market-final-project.herokuapp.com/seller/product/44133,4368,0,0
1672065956222,4504,DELETE SELLER PRODUCT BY ID,200,OK,Thread Group Normal Test 1-47,text,false,"The operation lasted too long: It took 4,504 milliseconds, but should not have lasted longer than 1,000 milliseconds.",322,436,89,89,https://market-final-project.herokuapp.com/seller/product/44164,4504,0,0
1672065956343,4384,DELETE SELLER PRODUCT BY ID,200,OK,Thread Group Normal Test 1-85,text,false,"The operation lasted too long: It took 4,384 milliseconds, but should not have lasted longer than 1,000 milliseconds.",322,436,89,89,https://market-final-project.herokuapp.com/seller/product/44132,4384,0,0
1672065959911,822,GET BUYER PRODUCT BY BUYER PRODUCT ID,200,OK,Thread Group Normal Test 1-52,text,true,,931,413,89,89,https://market-final-project.herokuapp.com/buyer/product/28172,822,0,0
1672065956341,4391,DELETE SELLER PRODUCT BY ID,200,OK,Thread Group Normal Test 1-87,text,false,"The operation lasted too long: It took 4,391 milliseconds, but should not have lasted longer than 1,000 milliseconds.",322,436,89,89,https://market-final-project.herokuapp.com/seller/product/44130,4391,0,0
1672065958544,2192,POST BUYER ORDER,400,Bad Request,Thread Group Normal Test 1-65,text,false,"The operation lasted too long: It took 2,192 milliseconds, but should not have lasted longer than 1,000 milliseconds.",349,482,89,89,https://market-final-project.herokuapp.com/buyer/order,2192,0,0
1672065958670,2087,POST BUYER ORDER,400,Bad Request,Thread Group Normal Test 1-19,text,false,"The operation lasted too long: It took 2,087 milliseconds, but should not have lasted longer than 1,000 milliseconds.",349,482,89,89,https://market-final-project.herokuapp.com/buyer/order,2087,0,0
1672065959338,1422,GET BUYER ORDER,200,OK,Thread Group Normal Test 1-58,text,false,"The operation lasted too long: It took 1,422 milliseconds, but should not have lasted longer than 1,000 milliseconds.",276,405,89,89,https://market-final-project.herokuapp.com/buyer/order,1422,0,0
1672065960502,266,GET BUYER PRODUCT BY BUYER PRODUCT ID,200,OK,Thread Group Normal Test 1-14,text,true,,931,413,89,89,https://market-final-project.herokuapp.com/buyer/product/28172,266,0,0
1672065959962,809,GET BUYER PRODUCT BY BUYER PRODUCT ID,200,OK,Thread Group Normal Test 1-97,text,true,,931,413,89,89,https://market-final-project.herokuapp.com/buyer/product/28172,809,0,0
1672065959353,1418,GET BUYER ORDER,200,OK,Thread Group Normal Test 1-80,text,false,"The operation lasted too long: It took 1,418 milliseconds, but should not have lasted longer than 1,000 milliseconds.",276,405,89,89,https://market-final-project.herokuapp.com/buyer/order,1418,0,0
1672065959390,1385,GET BUYER ORDER,200,OK,Thread Group Normal Test 1-26,text,false,"The operation lasted too long: It took 1,385 milliseconds, but should not have lasted longer than 1,000 milliseconds.",276,405,89,89,https://market-final-project.herokuapp.com/buyer/order,1385,0,0
1672065960058,728,GET BUYER PRODUCT BY BUYER PRODUCT ID,200,OK,Thread Group Normal Test 1-2,text,true,,931,413,89,89,https://market-final-project.herokuapp.com/buyer/product/28172,728,0,0
1672065959956,830,GET BUYER PRODUCT BY BUYER PRODUCT ID,200,OK,Thread Group Normal Test 1-28,text,true,,931,413,89,89,https://market-final-project.herokuapp.com/buyer/product/28172,830,0,0
1672065959411,1374,GET BUYER ORDER,200,OK,Thread Group Normal Test 1-96,text,false,"The operation lasted too long: It took 1,374 milliseconds, but should not have lasted longer than 1,000 milliseconds.",276,405,89,89,https://market-final-project.herokuapp.com/buyer/order,1374,0,0
1672065960560,258,GET BUYER PRODUCT BY BUYER PRODUCT ID,200,OK,Thread Group Normal Test 1-22,text,true,,931,413,89,89,https://market-final-project.herokuapp.com/buyer/product/28172,258,0,0
1672065960574,321,GET BUYER ORDER,200,OK,Thread Group Normal Test 1-66,text,true,,276,405,89,89,https://market-final-project.herokuapp.com/buyer/order,321,0,0
1672065960589,315,GET BUYER ORDER,200,OK,Thread Group Normal Test 1-90,text,true,,276,405,89,89,https://market-final-project.herokuapp.com/buyer/order,315,0,0
1672065960648,314,GET BUYER ORDER,200,OK,Thread Group Normal Test 1-93,text,true,,276,405,89,89,https://market-final-project.herokuapp.com/buyer/order,314,0,0
1672065960123,896,GET BUYER PRODUCT,200,OK,Thread Group Normal Test 1-33,text,true,,4903,440,89,89,https://market-final-project.herokuapp.com/buyer/product?page=5&per_page=10&category_id=1,896,0,0
1672065960141,931,GET BUYER PRODUCT BY BUYER PRODUCT ID,200,OK,Thread Group Normal Test 1-44,text,true,,931,413,89,89,https://market-final-project.herokuapp.com/buyer/product/28172,931,0,0
